year,month,day,country,category,color,position,photo,price,page,time,model,order
2008,5,11,29,2,12,6,1,52,1,15.7960053144249,B16,52
2008,4,8,29,4,2,6,2,38,1,13.7198939256431,P17,8
2008,5,22,46,3,11,2,1,48,1,6.36701331891924,C5,1
2008,4,24,29,2,7,2,1,38,2,11.5165744264613,B23,15
2008,7,2,29,2,10,2,1,52,1,8.0846170799464,B4,3
2008,8,3,29,1,3,1,1,72,1,10.5931268377393,A3,3
2008,5,14,29,4,7,2,1,43,5,28.1582719258265,P77,28
2008,7,22,29,2,14,2,2,52,1,15.4440052159071,B5,11
2008,6,10,29,2,12,1,1,67,2,4.80931773557293,B21,4
2008,8,9,29,4,2,5,2,38,1,15.2134628596359,P14,21
2008,5,1,29,4,14,4,1,28,3,7.79383972531286,P47,4
2008,4,5,29,1,1,4,2,43,2,13.6040135773024,A28,2
2008,5,20,29,1,3,4,1,38,1,8.23173370514502,A10,1
2008,7,9,29,4,14,1,1,43,3,22.1493070799639,P39,13
2008,5,17,29,4,2,1,1,33,4,11.9466633265137,P56,5
2008,7,7,21,1,3,2,1,43,1,3.13693095279611,A5,1
2008,5,20,46,4,4,2,1,38,1,15.1529723108602,P4,4
2008,4,2,29,4,7,6,1,33,1,14.6734178344248,P16,10
2008,7,8,29,3,14,2,2,48,4,17.0021758339201,C58,10
2008,4,14,29,3,9,6,1,48,1,7.80033772315818,C18,3
2008,4,28,29,4,4,4,1,33,2,22.668185912759,P30,15
2008,6,2,29,3,9,5,2,20,3,22.4354142721145,C50,12
2008,4,19,29,1,12,1,2,33,2,5.5502198050907,A19,4
2008,6,27,29,2,10,2,1,52,1,6.89300468036603,B4,2
2008,4,28,29,2,13,1,1,38,2,13.5417630850255,B19,4
2008,6,9,29,1,1,5,1,38,2,10.9982578568526,A33,3
2008,4,19,29,3,12,1,1,43,1,3.54864822160944,C2,2
2008,8,1,29,4,4,3,2,23,1,13.2938699592587,P9,9
2008,5,24,29,2,6,3,1,38,1,14.1181576611882,B7,2
2008,6,19,29,2,6,5,1,38,2,5.32378907936043,B32,5
2008,8,2,29,4,2,6,2,38,1,11.3089902808696,P17,16
2008,6,16,29,4,2,1,1,48,1,10.3319540562759,P3,6
2008,6,1,29,4,4,4,1,33,1,9.3139298688951,P12,8
2008,7,24,44,2,2,4,1,43,1,13.7727599240051,B11,13
2008,4,28,29,2,10,2,1,52,1,12.1151419004664,B4,3
2008,4,23,29,4,7,6,1,33,1,13.8907625735722,P16,6
2008,8,4,29,1,1,6,1,33,2,4.06155259284667,A36,1
2008,5,22,9,2,12,1,1,52,1,5.42702702575353,B3,4
2008,4,29,16,4,9,4,2,33,3,8.48273600954088,P48,1
2008,4,20,46,4,2,2,1,43,1,6.08591077571365,P6,1
2008,6,30,29,3,14,2,2,28,3,12.58545881372,C40,2
2008,5,16,29,3,13,2,1,28,3,13.0575271332389,C41,9
2008,5,23,29,3,13,6,1,28,1,6.85367272987031,C16,4
2008,4,9,29,1,3,2,1,43,1,5.67204544734701,A5,1
2008,4,28,9,1,3,4,1,62,1,5.88626358576823,A11,3
2008,6,18,29,4,9,4,2,33,3,14.1908561579787,P48,7
2008,5,21,29,1,3,2,1,43,1,8.89872228531131,A5,1
2008,7,7,44,2,12,1,1,52,1,7.75311728273664,B3,6
2008,6,10,29,4,6,3,2,33,2,12.158202817702,P27,3
2008,7,2,29,4,2,1,1,48,1,5.4181588089764,P3,1
2008,7,26,29,4,2,6,2,38,1,5.88371616809545,P17,2
2008,6,19,9,1,2,5,1,38,2,15.7361026082266,A32,18
2008,5,23,29,4,2,6,1,43,2,2.69990357804046,P36,1
2008,6,6,29,1,4,1,1,38,3,10.4574598749211,A39,5
